CATEGORIE,DATE,QUART,PDQ,X,Y,LAT,LONG
Introduction,20150104,soir,21,299962.84,5041609.764,45.5143906516,-73.5619114187
Introduction,20150104,nuit,22,300910.192,5043374.598,45.5302772556,-73.5498001554
Introduction,20150104,jour,23,302404.529,5046222.679,45.5559120679,-73.5306825058
Introduction,20150104,soir,23,302530.158,5046508.525,45.5584846293,-73.5290747072
Introduction,20150104,jour,26,294892.736,5039948.081,45.499384557,-73.6267706305
Introduction,20150104,soir,26,294734.802,5040974.967,45.5086226335,-73.6288125768
Introduction,20150104,soir,27,293279.513,5046254.433,45.5561066175,-73.647561225
Introduction,20150104,soir,30,294622.351,5048134.239,45.5730426165,-73.6304005362
Introduction,20150104,nuit,31,295639.087,5044365.595,45.5391452512,-73.6173031174
Introduction,20150104,nuit,38,299895.698,5043516.076,45.5315439278,-73.562789856
Introduction,20150104,soir,38,298080.297,5042832.373,45.5253765699,-73.5860230648
Introduction,20150104,soir,44,299776.493,5046097.725,45.5547736887,-73.5643425326
Introduction,20150104,soir,45,297439.29,5054223.221,45.6278683804,-73.5944005647
Introduction,20150104,nuit,45,296545.887,5054254.534,45.6281400992,-73.6058589043
Introduction,20150105,jour,7,291324.382,5043289.217,45.5293895427,-73.6725219673
Introduction,20150105,soir,7,291279.887,5041244.778,45.5109920788,-73.6730352139
Introduction,20150105,jour,8,288644.219,5033568.5,45.4418616759,-73.7065147637
Introduction,20150105,soir,8,290873.75,5033356.5,45.4400019672,-73.6780094521
Introduction,20150105,soir,8,290873.75,5033356.5,45.4400019672,-73.6780094521
Introduction,20150105,jour,13,294277.563,5030873.0,45.4177136532,-73.6344479804
Introduction,20150105,jour,15,300212.184,5037780.05,45.4799309049,-73.5586842283
Introduction,20150105,jour,15,300212.184,5037780.05,45.4799309049,-73.5586842283
Introduction,20150105,jour,15,298176.001,5035864.533,45.4626778314,-73.5847038517
Introduction,20150105,jour,20,299244.491,5040219.746,45.5018773393,-73.5710899044
Introduction,20150105,jour,20,298915.736,5040361.061,45.503146256,-73.5752984404
Introduction,20150105,soir,20,298963.322,5040110.414,45.5008912277,-73.5746865207
Introduction,20150105,jour,20,298113.992,5039600.681,45.4962968096,-73.5855476466
Introduction,20150105,jour,21,299420.778,5040810.504,45.5071946104,-73.5688405653
Introduction,20150105,soir,22,300495.603,5042438.087,45.5218477274,-73.5550997957
Introduction,20150105,jour,23,301567.396,5044799.708,45.5431042875,-73.5413955614
Introduction,20150105,jour,23,302375.198,5046522.116,45.5586064034,-73.5310596777
Introduction,20150105,soir,23,300880.931,5046216.744,45.5558517544,-73.5501975305
Introduction,20150105,soir,23,302474.396,5046380.616,45.5573334763,-73.5297883619
Introduction,20150105,nuit,23,301846.155,5044965.814,45.5446002074,-73.5378268774
Introduction,20150105,jour,26,295797.546,5040825.557,45.5072927092,-73.6152090587
Introduction,20150105,soir,26,295216.872,5040460.206,45.5039973962,-73.622633089
Introduction,20150105,jour,27,293279.513,5046254.433,45.5561066175,-73.647561225
Introduction,20150105,jour,27,293544.508,5046874.818,45.56169337,-73.6441812996
Introduction,20150105,soir,35,296383.197,5044644.479,45.5416641352,-73.6077797941
Introduction,20150105,jour,39,295633.563,5052876.5,45.6157288007,-73.6175335134
Introduction,20150105,jour,42,297829.43,5047660.465,45.5688189646,-73.5893033285
Introduction,20150105,nuit,42,296101.938,5049546.5,45.5857706203,-73.6114685957
Introduction,20150105,jour,44,298310.28,5045923.591,45.5531946505,-73.5831198858
Introduction,20150105,jour,45,299816.574,5055978.836,45.6436869059,-73.5639300564
Introduction,20150105,soir,46,300071.477,5050516.203,45.5945345976,-73.5606070468
Introduction,20150105,soir,48,303873.399,5050748.354,45.5966390175,-73.5118769962
Introduction,20150105,soir,48,303873.399,5050748.354,45.5966390175,-73.5118769962
Introduction,20150106,soir,11,296432.578,5037331.532,45.4758598678,-73.6070226766
Introduction,20150106,jour,13,294550.666,5031192.381,45.4205916698,-73.6309651238
Introduction,20150106,jour,15,296878.913,5035108.021,45.4558568656,-73.6012780478
Introduction,20150106,soir,20,299664.953,5038956.901,45.4905169322,-73.5656963395
Introduction,20150106,jour,20,298848.786,5039959.609,45.4995332523,-73.5761503004
Introduction,20150106,jour,20,299538.007,5040210.289,45.5017945169,-73.5673338898
Introduction,20150106,jour,21,299962.84,5041609.764,45.5143906516,-73.5619114187
Introduction,20150106,soir,22,300377.805,5042260.085,45.5202452573,-73.5566060993
Introduction,20150106,jour,22,300655.926,5042437.848,45.5218465482,-73.5530475293
Introduction,20150106,soir,22,300928.395,5043103.095,45.5278342681,-73.5495649614
Introduction,20150106,jour,23,301917.404,5045127.869,45.5460587354,-73.5369154188
Introduction,20150106,soir,23,301262.768,5045638.643,45.5506518448,-73.54530258
Introduction,20150106,nuit,26,294529.1,5037910.502,45.4810442929,-73.6313809707
Introduction,20150106,jour,27,291853.163,5046735.353,45.5604090224,-73.665843418
Introduction,20150106,soir,30,295979.258,5047426.057,45.5666886997,-73.6130025018
Introduction,20150106,nuit,31,294764.963,5045251.925,45.5471087115,-73.6285141917
Introduction,20150106,jour,31,295050.158,5045364.216,45.5481231945,-73.624864074
Introduction,20150106,jour,35,295557.599,5043864.78,45.5346376625,-73.6183370951
Introduction,20150106,soir,38,297968.028,5042624.159,45.5235018872,-73.5874573824
Introduction,20150106,nuit,42,297829.43,5047660.465,45.5688189646,-73.5893033285
Introduction,20150106,soir,42,296220.469,5049092.5,45.5816868705,-73.6099416095
Introduction,20150106,nuit,44,298477.153,5045850.864,45.5525417632,-73.5809816502
Introduction,20150106,jour,44,297650.187,5045455.189,45.5489733444,-73.5915674565
Introduction,20150106,soir,45,299415.397,5057574.622,45.6580430954,-73.5690942196
Introduction,20150106,jour,49,305561.436,5055567.513,45.6400032046,-73.4902325314
Introduction,20150106,jour,49,305032.495,5057186.147,45.654568379,-73.497016852
Introduction,20150107,jour,9,294604.287,5037754.191,45.4796388395,-73.630415968
Introduction,20150107,soir,15,298997.82,5038568.679,45.4870183101,-73.5742268551
Introduction,20150107,soir,20,300241.442,5039093.983,45.4917544606,-73.5583221794
Introduction,20150107,jour,21,300674.366,5040778.251,45.5069129258,-73.5527975161
Introduction,20150107,jour,23,302012.814,5046120.671,45.5549927069,-73.5356992241
Introduction,20150107,soir,23,301406.282,5044438.713,45.5398551557,-73.543456226
Introduction,20150107,nuit,26,294473.871,5039745.084,45.4975518322,-73.6321260256
Introduction,20150107,nuit,26,294529.1,5037910.502,45.4810442929,-73.6313809707
Introduction,20150107,soir,26,293989.768,5038258.533,45.4841678847,-73.6382875172
Introduction,20150107,jour,26,292966.089,5039549.522,45.4957681413,-73.6514137848
Introduction,20150107,soir,27,293632.281,5044694.483,45.542075421,-73.6430071773
Introduction,20150107,jour,30,296980.298,5045980.103,45.5536895,-73.6001550825
Introduction,20150107,jour,31,295188.501,5045016.034,45.5449920562,-73.6230855167
Introduction,20150107,soir,35,296272.535,5043884.073,45.5348203839,-73.6091836095
Introduction,20150107,nuit,38,297673.907,5042772.08,45.5248299926,-73.5912246283
Introduction,20150107,soir,38,299952.773,5044285.019,45.5384635641,-73.5620667352
Introduction,20150107,soir,38,296241.313,5042953.466,45.5264460549,-73.6095671074
Introduction,20150107,jour,39,0,0,1,1
Introduction,20150107,jour,44,300278.987,5044726.107,45.5424348287,-73.5578937756
Introduction,20150107,jour,46,300071.477,5050516.203,45.5945345976,-73.5606070468
Introduction,20150108,soir,3,275943.135,5041120.061,45.5094038851,-73.8693100652
Introduction,20150108,soir,11,294569.868,5035876.134,45.4627387205,-73.6308171277
Introduction,20150108,nuit,13,293384.0,5031480.0,45.4231617528,-73.6458793023
Introduction,20150108,soir,15,300253.022,5038086.044,45.4826846468,-73.5581646897
Introduction,20150108,soir,15,297090.806,5035502.025,45.4594046762,-73.5985749915
Introduction,20150108,soir,16,298897.625,5036153.0,45.4652800672,-73.5754796157
Introduction,20150108,jour,20,299604.415,5040352.612,45.5030756975,-73.5664856231
Introduction,20150108,soir,22,300736.988,5043888.602,45.5349014705,-73.5520219021
Introduction,20150108,soir,23,302222.662,5045833.529,45.5524097116,-73.5330099076
Introduction,20150108,nuit,24,297204.885,5042021.712,45.5180729375,-73.5972171722
Introduction,20150108,soir,24,295946.813,5041673.5,45.5149247499,-73.6133141257
Introduction,20150108,jour,26,294028.229,5040028.804,45.5000981236,-73.637834366
Introduction,20150108,soir,30,295311.997,5047686.526,45.5690237041,-73.6215558171
Introduction,20150108,soir,31,295393.737,5043987.067,45.5357358522,-73.6204374823
Introduction,20150108,jour,31,294836.27,5044370.536,45.5391786934,-73.6275830571
Introduction,20150108,nuit,35,297258.986,5043698.867,45.5331652057,-73.5965504959
Introduction,20150108,soir,38,298049.066,5042327.504,45.5208332593,-73.5864159139
Introduction,20150108,nuit,39,294782.814,5051564.412,45.603910576,-73.6284149811
Introduction,20150108,jour,39,295072.0,5053386.5,45.6203102615,-73.624744122
Introduction,20150108,soir,39,294439.938,5050974.0,45.5985928755,-73.6327979228
Introduction,20150108,soir,42,295214.725,5049425.565,45.5846707533,-73.6228361308
Introduction,20150108,soir,42,296751.443,5049177.532,45.5824583587,-73.6031389045
Introduction,20150108,jour,44,299338.376,5047360.584,45.5661340156,-73.5699681611
Introduction,20150108,jour,44,299776.493,5046097.725,45.5547736887,-73.5643425326
Introduction,20150108,soir,45,298976.917,5057024.928,45.6530933077,-73.5747141306
Introduction,20150108,jour,48,301755.542,5049999.053,45.5898905457,-73.5390186091
Introduction,20150109,soir,8,291726.875,5032636.0,45.4335350239,-73.667085469
Introduction,20150109,soir,10,292408.814,5043451.547,45.5308703692,-73.6586426594
Introduction,20150109,jour,10,287710.736,5043078.067,45.5274103081,-73.7187780993
Introduction,20150109,nuit,21,300194.517,5041972.664,45.5176577414,-73.5589495666
Introduction,20150109,soir,21,299420.778,5040810.504,45.5071946104,-73.5688405653
Introduction,20150109,soir,27,293657.39,5045174.847,45.5463983002,-73.6426965826
Introduction,20150109,soir,27,293042.21,5045729.591,45.5513799552,-73.6505881182
Introduction,20150109,jour,27,292974.293,5046088.544,45.554608779,-73.6514666397
Introduction,20150109,jour,30,297738.615,5047518.018,45.5675362661,-73.5904647441
Introduction,20150109,jour,31,295344.793,5045670.567,45.550883906,-73.6210966767
Introduction,20150109,jour,31,294926.337,5045772.834,45.5517983315,-73.6264580635
Introduction,20150109,nuit,38,297074.382,5042882.038,45.5258130499,-73.5989011658
Introduction,20150109,jour,42,296445.344,5049181.5,45.5824904552,-73.6070614968
Introduction,20150110,jour,13,296261.52,5032110.53,45.4288766414,-73.6091199359
Introduction,20150110,jour,13,296261.52,5032110.53,45.4288766414,-73.6091199359
Introduction,20150110,jour,13,296261.52,5032110.53,45.4288766414,-73.6091199359
Introduction,20150110,soir,20,298606.051,5039529.553,45.4956613106,-73.5792508474
Introduction,20150110,jour,20,300241.442,5039093.983,45.4917544606,-73.5583221794
Introduction,20150110,nuit,20,299390.28,5040430.332,45.5037734272,-73.56922667
Introduction,20150110,jour,23,301742.05,5044724.644,45.5424296228,-73.5391585369
Introduction,20150110,nuit,30,295375.546,5048860.466,45.5795880288,-73.6207642982
Introduction,20150110,soir,31,295109.304,5044340.569,45.5389128909,-73.6240863405
Introduction,20150110,soir,33,294988.016,5043178.568,45.52845509,-73.6256161114
Introduction,20150110,soir,38,298472.513,5041702.074,45.5152093634,-73.5809874758
Introduction,20150110,soir,38,299453.624,5043923.443,45.5352063179,-73.5684541794
Introduction,20150110,nuit,39,294614.541,5052405.748,45.6114786751,-73.6305897114
Introduction,20150110,soir,42,299420.938,5049355.5,45.5840855306,-73.5689324293
Introduction,20150110,jour,45,297734.72,5055122.784,45.6359659097,-73.5906247462
Introduction,20150111,jour,3,277730.5,5039724.0,45.496913421,-73.8463587691
Introduction,20150111,soir,4,0,0,1,1
Introduction,20150111,soir,10,292408.814,5043451.547,45.5308703692,-73.6586426594
Introduction,20150111,nuit,11,294569.868,5035876.134,45.4627387205,-73.6308171277
Introduction,20150111,jour,11,296512.359,5037017.223,45.4730325223,-73.6059969452
Introduction,20150111,nuit,13,294770.781,5033340.0,45.4399202587,-73.6281962615
Introduction,20150111,soir,15,297502.781,5036604.173,45.4693267568,-73.5933235688
Introduction,20150111,jour,16,298290.514,5034430.571,45.4497754083,-73.5832205457
Introduction,20150111,jour,20,0,0,1,1
Introduction,20150111,soir,21,300659.38,5039604.89,45.4963544318,-73.5529793946
Introduction,20150111,nuit,21,299568.729,5040710.567,45.5062964608,-73.5669460985
Introduction,20150111,soir,21,299735.683,5040981.171,45.5087327007,-73.5648123354
Introduction,20150111,soir,23,302610.896,5046412.617,45.5576218749,-73.5280400944
Introduction,20150111,jour,26,293963.376,5039441.842,45.494815393,-73.6386512522
Introduction,20150111,soir,27,0,0,1,1
Introduction,20150111,jour,30,295087.214,5047841.137,45.5704118402,-73.6244386961
Introduction,20150111,soir,31,294325.005,5044512.063,45.5404447032,-73.6341326874
Introduction,20150111,soir,35,295911.16,5044055.207,45.5363557932,-73.6138136655
Introduction,20150111,soir,38,298914.069,5040853.315,45.5075757497,-73.5753256794
Introduction,20150111,nuit,38,297244.194,5042400.243,45.5214795346,-73.5967198549
Introduction,20150111,jour,39,294066.469,5048997.0,45.580797636,-73.6375416737
Introduction,20150111,nuit,44,299084.88,5046328.094,45.5568412942,-73.5732035968
Introduction,20150111,nuit,46,298886.969,5053044.0,45.6172713077,-73.5758199021
Introduction,20150111,nuit,48,301216.409,5050260.814,45.5922433775,-73.5459302048
Introduction,20150111,soir,49,305907.431,5061041.677,45.6892602209,-73.4857817496
Introduction,20150112,soir,8,293118.925,5034153.823,45.4472177916,-73.6493299952
Introduction,20150112,soir,8,288160.875,5034219.5,45.4477083362,-73.7127151852
Introduction,20150112,nuit,8,290865.344,5034018.5,45.4459587946,-73.6781356457
Introduction,20150112,soir,8,287895.875,5034229.0,45.4477874625,-73.7161032573
Introduction,20150112,nuit,11,292675.894,5035448.842,45.4588634449,-73.6550255737
Introduction,20150112,nuit,11,292771.392,5035588.509,45.4601218844,-73.6538079045
Introduction,20150112,jour,13,297263.323,5031816.79,45.4262449242,-73.5963126334
Introduction,20150112,soir,15,297985.376,5037802.54,45.4801150956,-73.5871683291
Introduction,20150112,soir,15,298889.966,5038271.57,45.4843438848,-73.5756030456
Introduction,20150112,soir,15,297731.516,5037487.317,45.4772760506,-73.590411004
Introduction,20150112,soir,16,298838.781,5035241.5,45.4570774452,-73.57622106
Introduction,20150112,soir,16,299155.969,5034881.5,45.45384062,-73.5721613171
Introduction,20150112,jour,20,299697.209,5040093.093,45.5007411199,-73.5652954802
Introduction,20150112,jour,20,299287.578,5040727.168,45.5064436783,-73.5705442536
Introduction,20150112,nuit,20,299750.959,5040587.762,45.5051927526,-73.5646127853
Introduction,20150112,soir,22,300903.988,5044126.604,45.5370440555,-73.5498855658
